salesforce_account_id,name,parent_sf_account_id,parent_name,name_state_zip_slug,email,phone,phone2,website,street,street_2,city,county,state_province,postal_code,country,latitude,longitude,classical_status,classical_abstract_md_file,classical_report_md_file,classical_report_pdf_file,school_type,operating_model,private_public,church_governed,date_founded,student_population,facility_size,facility_nature,facility_lease_own,educator_certificates_degrees,educator_classes,educator_curriculums,student_curriculums,athletics,co_curricular_programs,classcon_programs,description,admissions_description,admissions_process,accreditations_description,accreditations_bullets,programs_description,programs_bullets,specialties_description,specialties_bullets,tuition_description,parent_id,head_contact_id,ambassador_contact_id,worldview,affiliations,school_awards,school_college_acceptances,liberal_arts,classical_language,great_books,low_tech,memory_work,socratic_method,etiquette,house_system,common_arts,classical_abstract_mdfile,classical_report_mdfile,classical_report_pdffile,featured_image_1_jpgfile,featured_image_2_jpgfile,show_classical_tab,show_campus_tab,show_tab_3,show_tab_4,account_id,cap_orig_sort
EG1V400000b2684,Adams-Young Elementary,EG1V400000a2682,Adams-Young,adams-young-elementary-mi-48235,,+13133958990,,,13130 Grove St.,,Detroit,Wayne County,MI,48235,US,42.4148116,-83.1745533,Classical,adams-young-elementary-mi-48235-abstract.md,adams-young-elementary-mi-48235-report.md,adams-young-elementary-mi-48235-report.pdf,,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,2684,910
EG1V400000b2682,Adams-Young Middle School,EG1V400000a2682,Adams-Young,adams-young-middle-school-mi-48235,,+13134864260,,,17351 Southfield Freeway,,Detroit,Wayne County,MI,48235,US,42.4179417,-83.2195881,Classical,adams-young-middle-school-mi-48235-abstract.md,adams-young-middle-school-mi-48235-report.md,adams-young-middle-school-mi-48235-report.pdf,,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,2682,909
EG1V400000a2682,Adams-Young Schools,,Adams-Young,adams-young-schools-mi-48235,,+13133958990,,,13130 Grove St.,,Detroit,Wayne County,MI,48235,US,42.4148116,-83.1745533,Classical,adams-young-schools-mi-48235-abstract.md,adams-young-schools-mi-48235-report.md,adams-young-schools-mi-48235-report.pdf,School System,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,
EG1V400000a0631,American Heritage School: Broward Campus,EG1V400000b2710,American Heritage School,american-heritage-school-broward-campus-fl-33484,,+19544720022,,https://www.ahschool.com/broward-campus,12200 West Broward Blvd.,,Plantation,Broward County,FL,33484,US,26.1205009,-80.3108164,Classical,american-heritage-school-broward-campus-fl-33484-abstract.md,american-heritage-school-broward-campus-fl-33484-report.md,american-heritage-school-broward-campus-fl-33484-report.pdf,,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,
EG1V400000b0631,American Heritage School: Palm Beach Campus,EG1V400000b2710,American Heritage School,american-heritage-school-palm-beach-campus-fl-33325,,+19544720022,,https://www.ahschool.com/palm-beach-campus,,,Del Ray Beach,Palm Beach County,FL,33325,US,,,Classical,american-heritage-school-palm-beach-campus-fl-33325-abstract.md,american-heritage-school-palm-beach-campus-fl-33325-report.md,american-heritage-school-palm-beach-campus-fl-33325-report.pdf,,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,631,1570
EG1V400000b2710,American Heritage School,,American Heritage School,american-heritage-school-ut-84003,,+18016420055,,https://af.americanheritageschool.org/,736 North 1100 East,,American Fork,Utah County,UT,84003,US,40.39293,-111.7683081,Non-Classical,american-heritage-school-ut-84003-abstract.md,american-heritage-school-ut-84003-report.md,american-heritage-school-ut-84003-report.pdf,,Private School,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,2710,934
EG1V400000b2222,American Preparatory Academy: Cedar,EG1V400000b222,American Preparatory Academy,american-preparatory-academy-cedar-ut-84020,,+18015538500,,http://americanprep.org/,12894 S. Pony Express Rd. #400,,Cedar City,Salt Lake County,UT,84020,US,40.5164543,-111.8931803,Classical,american-preparatory-academy-cedar-ut-84020-abstract.md,american-preparatory-academy-cedar-ut-84020-report.md,american-preparatory-academy-cedar-ut-84020-report.pdf,,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,2222,491
EG1V400000b0645,American Preparatory Academy: Draper 1,EG1V400000b222,American Preparatory Academy,american-preparatory-academy-draper-1-ut-84020,,+18015538500,,http://www.americanprep.org/,12892 South Pony Express Rd.,,Draper,Salt Lake County,UT,84020,US,40.5165492,-111.8947248,Classical,american-preparatory-academy-draper-1-ut-84020-abstract.md,american-preparatory-academy-draper-1-ut-84020-report.md,american-preparatory-academy-draper-1-ut-84020-report.pdf,,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,645,1583
EG1V400000b0418,American Preparatory Academy: Draper 2,EG1V400000b222,American Preparatory Academy,american-preparatory-academy-draper-2-ut-84020,,+17023387228,,https://graceandtruthacademy.com/,11938 S Lone Peak Pkwy.,,Draper,Salt Lake County,UT,84020,US,40.5341433,-111.9007501,Classical,american-preparatory-academy-draper-2-ut-84020-abstract.md,american-preparatory-academy-draper-2-ut-84020-report.md,american-preparatory-academy-draper-2-ut-84020-report.pdf,,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,418,1378
EG1V400000b1639,American Preparatory Academy: Draper 3,EG1V400000b222,American Preparatory Academy,american-preparatory-academy-draper-3-ut-84020,phammond@apamail.org,+13854342000,,https://apamail.org/,431 West 11915 S,,Draper,Salt Lake County,UT,84020,US,40.5343934,-111.9033229,Classical,american-preparatory-academy-draper-3-ut-84020-abstract.md,american-preparatory-academy-draper-3-ut-84020-report.md,american-preparatory-academy-draper-3-ut-84020-report.pdf,,Charter,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,1639,2484
