salesforce_account_id,name,parent_sf_account_id,parent_name,name_state_zip_slug,email,phone,phone2,website,street,street_2,city,county,state_province,postal_code,country,latitude,longitude,classical_status,classical_abstract_md_file,classical_report_md_file,classical_report_pdf_file,school_type,operating_model,private_public,church_governed,date_founded,student_population,facility_size,facility_nature,facility_lease_own,educator_certificates_degrees,educator_classes,educator_curriculums,student_curriculums,athletics,co_curricular_programs,classcon_programs,description,admissions_description,admissions_process,accreditations_description,accreditations_bullets,programs_description,programs_bullets,specialties_description,specialties_bullets,tuition_description,parent_id,head_contact_id,ambassador_contact_id,worldview,affiliations,school_awards,school_college_acceptances,liberal_arts,classical_language,great_books,low_tech,memory_work,socratic_method,etiquette,house_system,common_arts,classical_abstract_mdfile,classical_report_mdfile,classical_report_pdffile,featured_image_1_jpgfile,featured_image_2_jpgfile,show_classical_tab,show_campus_tab,show_tab_3,show_tab_4,account_id,cap_orig_sort
Acct0006,Abiding Savior Academy,,,abiding-savior-academy-sd-57103,info@abidingacademy.org,+1 605 371 1876,,https://abidingacademy.org/,4100 S. Bahnson Ave.,,Sioux Falls,Minnehaha County,SD,57103,US,43.50706960,-96.68066760,classical,abiding-savior-academy-sd-57103-fcapi-classicality-abstract.md,abiding-savior-academy-sd-57103-fcapi-classicality-audit.md,abiding-savior-academy-sd-57103-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,abiding-savior-academy-sd-57103-fcapi-classicality-abstract.md,abiding-savior-academy-sd-57103-fcapi-classicality-audit.md,abiding-savior-academy-sd-57103-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,271,2751
Acct0007,Abilene Classical Academy,,,abilene-classical-academy-tx-79602,office@abileneclassical.com,(402) 753-5192,,https://www.abileneclassical.com/,2002 S 27th St,,Abilene,,TX,79602,US,32.32498630,-99.65640920,classical,abilene-classical-academy-tx-79602-fcapi-classicality-abstract.md,abilene-classical-academy-tx-79602-fcapi-classicality-audit.md,abilene-classical-academy-tx-79602-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private School,0,2021,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"""\""\\\""""\\\\\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""Latin\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""]\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\""""\""""\\\""""\""""\\\""""\""""\""""\""""\""""""""""",1,0,0,0,0,0,0,abilene-classical-academy-tx-79602-fcapi-classicality-abstract.md,abilene-classical-academy-tx-79602-fcapi-classicality-audit.md,abilene-classical-academy-tx-79602-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,272,
Acct0022,Academy of Classical Christian Studies,,,academy-classical-christian-studies-ok-73131,info@theacademyok.org,+1 405 478 2077,,https://theacademyok.org/,1120 E Hefner Rd.,,Oklahoma City,Oklahoma County,OK,73131,US,35.57945880,-97.49263920,classical,academy-classical-christian-studies-ok-73131-fcapi-classicality-abstract.md,academy-classical-christian-studies-ok-73131-fcapi-classicality-audit.md,academy-classical-christian-studies-ok-73131-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,academy-classical-christian-studies-ok-73131-fcapi-classicality-abstract.md,academy-classical-christian-studies-ok-73131-fcapi-classicality-audit.md,academy-classical-christian-studies-ok-73131-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,286,2073
,Acts Community School,,,acts-community-school-tx-77536,,+1 281 888 8888,,https://www.actscommunitychurches.com,7347 Temperance Lane,,Deer Park,,TX,77536,US,29.67087630,-95.11999340,classical,acts-community-school-tx-77536-fcapi-classicality-abstract.md,acts-community-school-tx-77536-fcapi-classicality-audit.md,acts-community-school-tx-77536-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,acts-community-school-tx-77536-fcapi-classicality-abstract.md,acts-community-school-tx-77536-fcapi-classicality-audit.md,acts-community-school-tx-77536-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,5264,
Acct0029,Ad Fontes Academy,,,ad-fontes-academy-va-22030,dluckenbaugh@adfontes.com,+1 571 762 2431,,https://adfontes.com/,15450 Lee Hwy,,Centreville,Fairfax County,VA,22030,US,38.82886410,-77.48255330,classical,ad-fontes-academy-va-22030-fcapi-classicality-abstract.md,ad-fontes-academy-va-22030-fcapi-classicality-audit.md,ad-fontes-academy-va-22030-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,ad-fontes-academy-va-22030-fcapi-classicality-abstract.md,ad-fontes-academy-va-22030-fcapi-classicality-audit.md,ad-fontes-academy-va-22030-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,293,2053
Acct0033,Addenbrooke Classical Academy,,,addenbrooke-classical-academy-co-80235,,+1 608 469 6798,,https://www.augustineclassical.org/,3940 S. Teller St.,,Lakeview,Jefferson County,CO,80235,US,39.64417420,-105.07556810,classical,addenbrooke-classical-academy-co-80235-fcapi-classicality-abstract.md,addenbrooke-classical-academy-co-80235-fcapi-classicality-audit.md,addenbrooke-classical-academy-co-80235-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Charter,Public,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,addenbrooke-classical-academy-co-80235-fcapi-classicality-abstract.md,addenbrooke-classical-academy-co-80235-fcapi-classicality-audit.md,addenbrooke-classical-academy-co-80235-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,294,2255
Acct0034,Adel Classical Academy,,,adel-classical-academy-ia-50003,adelclassicalacademy@gmail.com,+1 515 612 4414,,https://www.adelclassicalacademy.org/,25712 U.S. 6,,Adel,Dallas County,IA,50003,US,41.61303990,-93.97696140,classical,adel-classical-academy-ia-50003-fcapi-classicality-abstract.md,adel-classical-academy-ia-50003-fcapi-classicality-audit.md,adel-classical-academy-ia-50003-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,adel-classical-academy-ia-50003-fcapi-classicality-abstract.md,adel-classical-academy-ia-50003-fcapi-classicality-audit.md,adel-classical-academy-ia-50003-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,295,1194
Acct0035,Adelphia Classical Christian Academy,,,adelphia-classical-christian-academy-ca-92866,,+1 714 677 2594,,https://www.adelphiaclassical.com/,710 South Cambridge Street,,Orange,Orange County,CA,92866,US,33.77663570,-117.84529300,classical,adelphia-classical-christian-academy-ca-92866-fcapi-classicality-abstract.md,adelphia-classical-christian-academy-ca-92866-fcapi-classicality-audit.md,adelphia-classical-christian-academy-ca-92866-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,adelphia-classical-christian-academy-ca-92866-fcapi-classicality-abstract.md,adelphia-classical-christian-academy-ca-92866-fcapi-classicality-audit.md,adelphia-classical-christian-academy-ca-92866-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,296,1685
Acct0036,Adolesco Preparatory Academy,,,adolesco-preparatory-academy-la-70466,admin@adolescoprep.org,+1 337 281 1726,,https://adolescoprep.org/,48024 Parsonage Rd,,Tickfaw,Tangipahoa Parish,LA,70466,US,30.57724030,-90.48349700,classical,adolesco-preparatory-academy-la-70466-fcapi-classicality-abstract.md,adolesco-preparatory-academy-la-70466-fcapi-classicality-audit.md,adolesco-preparatory-academy-la-70466-v*-fcapi-classicality-audit.pdf,elementary-intermediate,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,adolesco-preparatory-academy-la-70466-fcapi-classicality-abstract.md,adolesco-preparatory-academy-la-70466-fcapi-classicality-audit.md,adolesco-preparatory-academy-la-70466-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,297,2647
Acct0045,Agape Montessori Christian Academy,,,agape-montessori-christian-academy-ms-39183,4godskidz@gmail.com,+1 601 634 0092,,https://4godskidz.wixsite.com/mysite-1/,822 Main St.,,Vicksburg,Warren County,MS,39183,US,32.35361360,-90.87931110,classical,agape-montessori-christian-academy-ms-39183-fcapi-classicality-abstract.md,agape-montessori-christian-academy-ms-39183-fcapi-classicality-audit.md,agape-montessori-christian-academy-ms-39183-v*-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,agape-montessori-christian-academy-ms-39183-fcapi-classicality-abstract.md,agape-montessori-christian-academy-ms-39183-fcapi-classicality-audit.md,agape-montessori-christian-academy-ms-39183-v*-fcapi-classicality-audit.pdf,,,0,0,0,0,305,2083
