salesforce_account_id,name,parent_sf_account_id,parent_name,name_state_zip_slug,email,phone,phone2,website,street,street_2,city,county,state_province,postal_code,country,latitude,longitude,classical_status,classical_abstract_md_file,classical_report_md_file,classical_report_pdf_file,school_type,operating_model,private_public,church_governed,date_founded,student_population,facility_size,facility_nature,facility_lease_own,educator_certificates_degrees,educator_classes,educator_curriculums,student_curriculums,athletics,co_curricular_programs,classcon_programs,description,admissions_description,admissions_process,accreditations_description,accreditations_bullets,programs_description,programs_bullets,specialties_description,specialties_bullets,tuition_description,parent_id,head_contact_id,ambassador_contact_id,worldview,affiliations,school_awards,school_college_acceptances,liberal_arts,classical_language,great_books,low_tech,memory_work,socratic_method,etiquette,house_system,common_arts,classical_abstract_mdfile,classical_report_mdfile,classical_report_pdffile,featured_image_url,featured_image_2_jpgfile,show_classical_tab,show_campus_tab,show_tab_3,show_tab_4,account_id,cap_orig_sort
Acct0007,Abilene Classical Academy,,,abilene-classical-academy-tx-79602,office@abileneclassical.com,(402) 753-5192,,https://www.abileneclassical.com/,2002 S 27th St,,Abilene,,TX,79602,US,32.32498630,-99.65640920,classical,abilene-classical-academy-tx-79602-fcapi-classicality-abstract.md,abilene-classical-academy-tx-79602-fcapi-classicality-audit.md,abilene-classical-academy-tx-79602-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate,Private School,Private School,0,2021,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"""\""\\\""""\\\\\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""[\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""Latin\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""]\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\\\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\\\\\""""\""""\\\""""\""""\\\""""\""""\\\""""\""""\\\""""\""""\""""\""""\""""""""""",1,0,0,0,0,0,0,abilene-classical-academy-tx-79602-fcapi-classicality-abstract.md,abilene-classical-academy-tx-79602-fcapi-classicality-audit.md,abilene-classical-academy-tx-79602-v20260107-fcapi-classicality-audit.pdf,https://storage2.snappages.site/u7z5xuab7p/assets/images/14919294_2562x612_500.png,,0,0,0,0,272,
Acct0008,Abington Christian Academy,,,abington-christian-academy-pa-18452,,+1 570 586 5270,,https://abingtonchristianacademy.com/,3364 Scranton Carbondale Blvd.,,Blakely,Lackawanna County,PA,18452,US,41.47780050,-75.67633750,classical,abington-christian-academy-pa-18452-fcapi-classicality-abstract.md,abington-christian-academy-pa-18452-fcapi-classicality-audit.md,abington-christian-academy-pa-18452-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,abington-christian-academy-pa-18452-fcapi-classicality-abstract.md,abington-christian-academy-pa-18452-fcapi-classicality-audit.md,abington-christian-academy-pa-18452-v20260107-fcapi-classicality-audit.pdf,https://www.abingtonchristianacademy.com/wp-content/uploads/2022/08/clouds.png,,0,0,0,0,273,1686
Acct0013,Acacia Academy,,,acacia-academy-in-46902,acacia@acaciaacademy.org,+1 765 457 5545,,https://acaciaacademy.org/,1476 County Road E 400 South,,Kokomo,Howard County,IN,46902,US,40.41982980,-86.09906390,classical,acacia-academy-in-46902-fcapi-classicality-abstract.md,acacia-academy-in-46902-fcapi-classicality-audit.md,acacia-academy-in-46902-v20260109-fcapi-classicality-audit.pdf,elementary-intermediate,Private School,Private,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,acacia-academy-in-46902-fcapi-classicality-abstract.md,acacia-academy-in-46902-fcapi-classicality-audit.md,acacia-academy-in-46902-v20260109-fcapi-classicality-audit.pdf,http://static1.squarespace.com/static/5ecd0fbd8a34587413bcec34/t/5f1aea5c499d601b9eb99e16/1595599456357/Acacia_Experience.png?format=1500w,,0,0,0,0,278,1914
,Acacia Classical Academy,,,acacia-classical-academy-ca-95628,info@acaciaclassicalacademy.com,+1 916 545 5110,,https://acaciaclassicalacademy.com,8130 Niessen Way,,Fair Oaks,,CA,95628,US,38.66922930,-121.26051470,classical,acacia-classical-academy-ca-95628-fcapi-classicality-abstract.md,acacia-classical-academy-ca-95628-fcapi-classicality-audit.md,acacia-classical-academy-ca-95628-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,acacia-classical-academy-ca-95628-fcapi-classicality-abstract.md,acacia-classical-academy-ca-95628-fcapi-classicality-audit.md,acacia-classical-academy-ca-95628-v20260107-fcapi-classicality-audit.pdf,https://acaciaclassicalacademy.com/wp-content/uploads/2024/01/AcaciaAcademy_logo_white.png,,0,0,0,0,5302,
Acct0015,Academy Charter School,,,academy-charter-school-ak-99645,,+1 907 841 9452,,https://acc.matsuk12.us/,801 East Arctic Avenue,,Palmer,Matanuska-Susitna Borough,AK,99645,US,61.60726430,-149.09444160,classical,academy-charter-school-ak-99645-fcapi-classicality-abstract.md,academy-charter-school-ak-99645-fcapi-classicality-audit.md,academy-charter-school-ak-99645-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Charter,Public,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,academy-charter-school-ak-99645-fcapi-classicality-abstract.md,academy-charter-school-ak-99645-fcapi-classicality-audit.md,academy-charter-school-ak-99645-v20260107-fcapi-classicality-audit.pdf,"https://resources.finalsite.net/images/f_auto,q_auto/v1716545383/matsuk12us/re9of4mwrvalgf2lxg4v/AcademyCharterSchoolPrimaryLogoImage.png",,0,0,0,0,280,1232
Acct0022,Academy of Classical Christian Studies,,,academy-classical-christian-studies-ok-73131,info@theacademyok.org,+1 405 478 2077,,https://theacademyok.org/,1120 E Hefner Rd.,,Oklahoma City,Oklahoma County,OK,73131,US,35.57945880,-97.49263920,classical,academy-classical-christian-studies-ok-73131-fcapi-classicality-abstract.md,academy-classical-christian-studies-ok-73131-fcapi-classicality-audit.md,academy-classical-christian-studies-ok-73131-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,academy-classical-christian-studies-ok-73131-fcapi-classicality-abstract.md,academy-classical-christian-studies-ok-73131-fcapi-classicality-audit.md,academy-classical-christian-studies-ok-73131-v20260107-fcapi-classicality-audit.pdf,https://theacademyok.org/wp-content/uploads/2024/07/academy-white.svg,,0,0,0,0,286,2073
Acct0024,Academy of Our Lady of Mercy Lauralton Hall,,,academy-our-lady-mercy-lauralton-hall-ct-06460,,+1 203 877 2786,,https://lauraltonhall.org/,200 High Street,,Milford,South Central Connecticut Planning Region,CT,6460,US,41.22302390,-73.06486700,somewhat-classical,academy-our-lady-mercy-lauralton-hall-ct-06460-fcapi-classicality-abstract.md,academy-our-lady-mercy-lauralton-hall-ct-06460-fcapi-classicality-audit.md,academy-our-lady-mercy-lauralton-hall-ct-06460-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,academy-our-lady-mercy-lauralton-hall-ct-06460-fcapi-classicality-abstract.md,academy-our-lady-mercy-lauralton-hall-ct-06460-fcapi-classicality-audit.md,academy-our-lady-mercy-lauralton-hall-ct-06460-v20260107-fcapi-classicality-audit.pdf,"https://resources.finalsite.net/images/f_auto,q_auto,t_image_size_6/v1696511026/lauralton/bdcmouvzycvesqn3l4dt/HomepageHeader-2.jpg",,0,0,0,0,289,140
,Acts Community School,,,acts-community-school-tx-77536,,+1 281 888 8888,,https://www.actscommunitychurches.com,7347 Temperance Lane,,Deer Park,,TX,77536,US,29.67087630,-95.11999340,classical,acts-community-school-tx-77536-fcapi-classicality-abstract.md,acts-community-school-tx-77536-fcapi-classicality-audit.md,acts-community-school-tx-77536-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,acts-community-school-tx-77536-fcapi-classicality-abstract.md,acts-community-school-tx-77536-fcapi-classicality-audit.md,acts-community-school-tx-77536-v20260107-fcapi-classicality-audit.pdf,https://images.planningcenterusercontent.com/v1/transform.png?bucket=publishing-production-attachments&disposition=inline&expires_at=1767250799&key=organization_376649_olc2g7s11vgou3onte63r57k33yb&thumb=640x360%23&signature=4d1524f721ae3ba33a22ec55c935eddfd61544883c2adc7801e0a1b7ce32fa8d,,0,0,0,0,5264,
Acct0029,Ad Fontes Academy,,,ad-fontes-academy-va-22030,dluckenbaugh@adfontes.com,+1 571 762 2431,,https://adfontes.com/,15450 Lee Hwy,,Centreville,Fairfax County,VA,22030,US,38.82886410,-77.48255330,classical,ad-fontes-academy-va-22030-fcapi-classicality-abstract.md,ad-fontes-academy-va-22030-fcapi-classicality-audit.md,ad-fontes-academy-va-22030-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,Private School,Private,0,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,ad-fontes-academy-va-22030-fcapi-classicality-abstract.md,ad-fontes-academy-va-22030-fcapi-classicality-audit.md,ad-fontes-academy-va-22030-v20260107-fcapi-classicality-audit.pdf,https://adfontes.com/wp-content/uploads/2023/09/New-Ad-Fontes-Academy_CrestLogo_632x194_Color.png,,0,0,0,0,293,2053
Acct0030,Adams-Young Elementary,,,adams-young-elementary-mi-48235,,+1 313 395 8990,,https://cornerstoneschools.org/school/adams-young-academy/,13130 Grove Street,,Detroit,Wayne County,MI,48235,US,42.41481160,-83.17455330,somewhat-classical,adams-young-elementary-mi-48235-fcapi-classicality-abstract.md,adams-young-elementary-mi-48235-fcapi-classicality-audit.md,adams-young-elementary-mi-48235-v20260107-fcapi-classicality-audit.pdf,elementary-intermediate-secondary,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,adams-young-elementary-mi-48235-fcapi-classicality-abstract.md,adams-young-elementary-mi-48235-fcapi-classicality-audit.md,adams-young-elementary-mi-48235-v20260107-fcapi-classicality-audit.pdf,https://cornerstoneschools.org/wp-content/uploads/2021/03/cs-schools-logo.png,,0,0,0,0,13,910
