salesforce_account_id,name,parent_sf_account_id,parent_name,name_state_zip_slug,email,"phone",phone2,website,street,street_2,city,county,state_province,"postal_code",country,latitude,longitude,classical_status,classical_abstract_md_file,classical_report_md_file,classical_report_pdf_file,classical_status_origin,published_at,school_type,operating_model,private_public,church_governed,date_founded,student_population,facility_size,facility_nature,facility_lease_own,educator_certificates_degrees,educator_classes,educator_curriculums,student_curriculums,athletics,co_curricular_programs,classcon_programs,description,admissions_description,admissions_process,accreditations_description,accreditations_bullets,programs_description,programs_bullets,specialties_description,specialties_bullets,tuition_description,parent_id,head_contact_id,ambassador_contact_id,worldview,affiliations,school_awards,school_college_acceptances,liberal_arts,classical_language,great_books,low_tech,memory_work,socratic_method,etiquette,house_system,common_arts,featured_image_url,featured_image_2_jpgfile,show_classical_tab,show_campus_tab,show_tab_3,show_tab_4,account_id,cap_orig_sort,grades,grades_offered
001V400000tP5BM,Abiding Savior Academy,,,abiding-savior-academy-sd-57103,info@abidingacademy.org,"+1 605 371 1876",,https://abidingacademy.org/,4100 S. Bahnson Ave.,,Sioux Falls,Minnehaha County,SD,"57103",US,43.50706960,-96.68066760,classical,abiding-savior-academy-sd-57103-fcapi-thi-website-survey-abstract.md,abiding-savior-academy-sd-57103-fcapi-thi-website-survey.md,abiding-savior-academy-sd-57103-fcapi-thi-website-survey.pdf,accs-membership,2026-07-01,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-elementary-3.png,,0,0,0,0,271,,PK-12,"PreK, K, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th"
001V400000tP5BN,Abilene Classical Academy,,,abilene-classical-academy-tx-79602,office@abileneclassical.com,"+1 402 753 5192",,https://www.abileneclassical.com/,2002 S 27th St,,Abilene,,TX,"79602",US,32.32498630,-99.65640920,classical,abilene-classical-academy-tx-79602-fcapi-thi-website-survey-abstract.md,abilene-classical-academy-tx-79602-fcapi-thi-website-survey.md,abilene-classical-academy-tx-79602-fcapi-thi-website-survey.pdf,accs-membership,2026-07-01,elementary-intermediate,Private School,Private,0,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,0,0,0,0,0,placeholders/placeholder-elementary-4.png,,0,0,0,0,272,,K-9,"K, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th"
001V400000tP5BO,Abington Christian Academy,,,abington-christian-academy-pa-18452,,"+1 570 586 5270",,https://abingtonchristianacademy.com/,3364 Scranton Carbondale Blvd.,,Blakely,Lackawanna County,PA,"18452",US,41.47780050,-75.67633750,classical,abington-christian-academy-pa-18452-fcapi-thi-website-survey-abstract.md,abington-christian-academy-pa-18452-fcapi-thi-website-survey.md,abington-christian-academy-pa-18452-fcapi-thi-website-survey.pdf,audit,2026-07-01,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-elementary-5.png,,0,0,0,0,273,,K-12,"K, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th"
001V400000tP5BP,Acacia Academy,,,acacia-academy-in-46902,acacia@acaciaacademy.org,"+1 765 457 5545",,https://acaciaacademy.org/,1476 County Road E 400 South,,Kokomo,Howard County,IN,"46902",US,40.41982980,-86.09906390,classical,acacia-academy-in-46902-fcapi-thi-website-survey-abstract.md,acacia-academy-in-46902-fcapi-thi-website-survey.md,acacia-academy-in-46902-fcapi-thi-website-survey.pdf,accs-membership,2026-07-01,elementary-intermediate,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-elementary-0.png,,0,0,0,0,278,,K-8,"K, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th"
001V400000tP5BQ,Acacia Classical Academy,,,acacia-classical-academy-ca-95628,info@acaciaclassicalacademy.com,"+1 916 545 5110",,https://acaciaclassicalacademy.com,8130 Niessen Way,,Fair Oaks,,CA,"95628",US,38.66922930,-121.26051470,classical,acacia-classical-academy-ca-95628-fcapi-thi-website-survey-abstract.md,acacia-classical-academy-ca-95628-fcapi-thi-website-survey.md,acacia-classical-academy-ca-95628-fcapi-thi-website-survey.pdf,scl-membership,2026-07-01,elementary-intermediate-secondary,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-elementary-1.png,,0,0,0,0,5302,,,
001V400000tP5BR,Academy Charter School,,,academy-charter-school-ak-99645,,"+1 907 841 9452",,https://acc.matsuk12.us/,801 East Arctic Avenue,,Palmer,Matanuska-Susitna Borough,AK,"99645",US,61.60726430,-149.09444160,classical,academy-charter-school-ak-99645-fcapi-thi-website-survey-abstract.md,academy-charter-school-ak-99645-fcapi-thi-website-survey.md,academy-charter-school-ak-99645-fcapi-thi-website-survey.pdf,audit,2026-07-01,elementary-intermediate-secondary,Charter,Public,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-elementary-4.png,,0,0,0,0,280,,K-12,"K, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th"
001V400000tP5BS,Academy of Classical Christian Studies,,,academy-classical-christian-studies-ok-73131,info@theacademyok.org,"+1 405 478 2077",,https://theacademyok.org/,1120 E Hefner Rd.,,Oklahoma City,Oklahoma County,OK,"73131",US,35.57945880,-97.49263920,classical,academy-classical-christian-studies-ok-73131-fcapi-thi-website-survey-abstract.md,academy-classical-christian-studies-ok-73131-fcapi-thi-website-survey.md,academy-classical-christian-studies-ok-73131-fcapi-thi-website-survey.pdf,scl-membership,2026-07-01,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-elementary-1.png,,0,0,0,0,286,,PK-12,"PreK, K, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th"
001V400000tPCf1,Acts Community School,,,acts-community-school-tx-77536,,"+1 281 888 8888",,https://www.actscommunitychurches.com,7347 Temperance Lane,,Deer Park,,TX,"77536",US,29.67087630,-95.11999340,classical,acts-community-school-tx-77536-fcapi-thi-website-survey-abstract.md,acts-community-school-tx-77536-fcapi-thi-website-survey.md,acts-community-school-tx-77536-fcapi-thi-website-survey.pdf,scl-membership,2026-07-01,elementary-intermediate-secondary,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-elementary-6.png,,0,0,0,0,5264,,K-12,"K, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th"
001V400000tPCf3,Ad Fontes Academy,,,ad-fontes-academy-va-22030,dluckenbaugh@adfontes.com,"+1 571 762 2431",,https://adfontes.com/,15450 Lee Hwy,,Centreville,Fairfax County,VA,"22030",US,38.82886410,-77.48255330,classical,ad-fontes-academy-va-22030-fcapi-thi-website-survey-abstract.md,ad-fontes-academy-va-22030-fcapi-thi-website-survey.md,ad-fontes-academy-va-22030-fcapi-thi-website-survey.pdf,accs-membership,2026-07-01,elementary-intermediate-secondary,Private School,Private,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-elementary-7.png,,0,0,0,0,293,,K-12,"K, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th"
001V400000tPCf4,Ad Meliora Classical Scholé Academy,001V400000tOZKD,Scholé Communities,ad-meliora-classical-schole-academy-leawood-ks,admelioraclassical@gmail.com,"",,https://www.facebook.com/profile.php?id=61556783746762,,,Leawood,,KS,"",US,38.96667300,-94.61690120,classical,ad-meliora-classical-schole-academy-leawood-ks-fcapi-thi-website-survey-abstract.md,ad-meliora-classical-schole-academy-leawood-ks-fcapi-thi-website-survey.md,ad-meliora-classical-schole-academy-leawood-ks-fcapi-thi-website-survey.pdf,schole-membership,2026-07-01,elementary-intermediate-secondary,Homeschool,Private,0,,,,,,,,,,,,,,,,,,,,,,,5479,,,,,,,0,,0,0,0,0,0,0,0,placeholders/placeholder-k12-2.png,,0,0,0,0,5514,,,
